BROKER_ID,CLIENT_ID,CREATED_AT,DRIVING_LICENSE_HELD_MONTHS,TAXI_LICENCE_HELD_MONTHS,NO_CLAIMS_BONUS_YEARS,BASIC_PREMIUM,ANNUAL_PREMIUM,NET_PREMIUM,TOTAL_REMIUM,EXCESS,VEHICLE_VALUE,YEAR_OF_FIRST_REGISTRATION,VEHICLE_ANNUAL_MILEAGE,QUOTE_TYPE,VALID_DRIVERS,VEHICLE,ADDRESS_LATITUDE,ADDRESS_LONGITUDE,COVER_BASIS,QUOTE_STATUS,DISCOUNTED_COMMISSION,BROKER_COMMISSION,RETAINED_COMMISSION
769589,154727,1/20/21 12:29,106,52,4,544166.78,544409.04,543312.75,613762.96,350,5000,2014,40000,New Business,Insured Only,VOLKSWAGEN PASSAT R LINE TDI BLUEMOTION TECHNOLOGY,55.3686735469442,-1.27087491357817,Comprehensive,Not accepted,110383.6,54633.01,55750.59
332021,167042,2/19/21 16:16,128,117,6,567395.2,567647.9,566504.4,639963.82,350,24000,2017,20000,New Business,Insured Only,MERCEDES-BENZ E350 HYBRID AMG LINE E,53.3396202558257,-0.103807307541216,Comprehensive,Not accepted,115096.04,56965.16,58130.88
149258,176141,3/12/21 14:23,305,198,6,533782,534020.08,532616.37,601692.28,500,9500,2017,35000,New Business,Insured Only,VOLKSWAGEN CADDY MAXI LIFE TDI 102,54.6844802898741,-4.0626139421279,Comprehensive,Accepted,108214.6,53558.16,54656.44
469971,179746,3/20/21 9:49,70,55,2,545562.19,545804.71,544707.27,615330.33,350,6000,2014,20000,New Business,Insured Only,VOLKSWAGEN PASSAT EXECUTIVE STYLE TDI BMT 140,54.9153928203862,-1.15668635687154,Comprehensive,Not accepted,110664.299999999,54772.77,55891.53
332021,180210,3/22/21 12:16,138,43,5,552642.97,552888.77,551776.5,623318.93,500,14000,2018,15000,New Business,Insured Only,TOYOTA AURIS HYBRID EXCEL HSD,52.4248954639238,-0.0421112910163185,Comprehensive,Not accepted,112101.43,55483.78,56617.65
932679,182978,3/30/21 12:32,126,111,2,572428.26,572684.16,571526.17,645657.61,350,10700,2016,25000,New Business,Insured And 1 Named Driver,SKODA OCTAVIA SE L TDI 150,51.608066902132,0.914857423655883,Comprehensive,Not accepted,116115.05,57471.33,58643.72
953509,184518,4/7/21 10:34,84,55,0,588039.17,588296.73,585346.85,661172.77,500,10000,2013,45000,New Business,Insured Only,TOYOTA ESTIMA AERAS,47.1952268953804,-0.016972855605614,Comprehensive,Not accepted,118899.07,58855.46,60043.61
580964,104694,4/10/21 3:00,249,230,7,558249.89,558499.04,557371.61,629658.07,350,23000,2010,35000,Renewal,Insured Only,LONDON TAXIS TX4 BRONZE,50.0388963226419,0.693525599526234,Comprehensive,Accepted,113244.239999999,56047.46,57196.78
605464,116763,4/11/21 5:01,295,51,2,552852.85,553099.02,551709.41,623251.73,350,15000,2017,50000,Renewal,Insured And Spouse,MERCEDES-BENZ E220 SE D,55.9252913037857,-0.825925146275122,Comprehensive,Accepted,112133.49,55525.76,56607.73
117915,188343,4/15/21 11:18,214,202,6,579546.83,579805.23,578635.9,653674.87,500,20000,2016,30000,New Business,Insured Only,LONDON TAXIS TX4 ELEGANCE,55.8863446040944,-0.239206764820543,Comprehensive,Not accepted,117596.45,58223.17,59373.28
400621,193284,4/19/21 13:51,62,34,4,555956.86,556201.53,555094.37,627010.44,500,4000,2012,35000,New Business,Insured And Spouse,SKODA SUPERB ELEGANCE TDI (140),56.4035458857722,-3.00766179669415,Comprehensive,Not accepted,112756.98,55814.16,56942.82
187752,124487,4/26/21 2:58,82,51,5,519655.63,519886.94,517779.75,584928.48,500,15000,2017,35000,Renewal,Insured Only,MERCEDES-BENZ E220 SE D,47.1393249228428,-2.33754699138398,Comprehensive,Not accepted,105199.17,52066.06,53133.11
